"ID","REQ","AUTHOR","DATE","LANG","MSG","SCORE"
"1337704843939618816","COVID","Northern Lad","Sat Dec 12 10:24:22 +0000 2020","en","A mate who him and his wife is covid crazy has asked me and the wife round for a beer during xmas Me how come Do","-1"
"1337704843427901445","COVID","♥♥RABI♥♥","Sat Dec 12 10:24:22 +0000 2020","en","In the midst of useless political concerning the upcoming PDM power show in Multan Rana Sanaua","-1"
"1337704843335639042","COVID","surreyman54321","Sat Dec 12 10:24:22 +0000 2020","en","New data shows active COVID cases in Kent are actually falling","-1"
"1337704841901002753","COVID","ONE News PH","Sat Dec 12 10:24:22 +0000 2020","en","Pinoy boxer Nonito Donaire Jr posted a supposed negative COVID19 result two days after reports said he tested po","-1"
"1337704841511116802","COVID","Johnny Sins","Sat Dec 12 10:24:22 +0000 2020","en","Aye owes just beware of covid you dont want to be the reason for getting somebody ill","-1"
"1337704841032986626","COVID","Leo Schulz","Sat Dec 12 10:24:22 +0000 2020","en","Um sorry I think I was being sarcastic the EU Covidsubsidy prog is currently on the roc","-1"
"1337704839816601610","COVID","Melanie Muroff","Sat Dec 12 10:24:21 +0000 2020","en","In a state where the governor defied calls for a mask mandate even as cases hit record levels many ignored the COVID19 for m","-1"
"1337704839543832576","COVID","Ethan Davenport","Sat Dec 12 10:24:21 +0000 2020","en","There used to be a place near my house that served wood fired pizza it was only available in one siz","-1"
"1337704839527227392","COVID","carl devitt / Gab. Brad Fitt","Sat Dec 12 10:24:21 +0000 2020","en","True face of todays NHS Cancelled by politics NOT Covid Scheduled surgery which she says could have been a lifeline wa","-1"
"1337704837769728001","COVID","miCasita® Toronto","Sat Dec 12 10:24:21 +0000 2020","en","Indonesian cleric turns himself in for COVID19 violations","-1"
"1337704837702701057","COVID","T","Sat Dec 12 10:24:21 +0000 2020","en","Covid is a hoax so whatever","-1"
"1337704836691677187","COVID","Is it January 20 yet?","Sat Dec 12 10:24:21 +0000 2020","en","What would be the basis for threatening a mother with jail time for getting her son tested","-1"
"1337704836431802368","COVID","Chris Bronsdon","Sat Dec 12 10:24:21 +0000 2020","en","Thats a Heres the true story","-1"
"1337704836222029828","COVID","Michael Wayne","Sat Dec 12 10:24:20 +0000 2020","en","Heres the trouble when God sends Plagues Pestilences and Pandemics such as hivaids or CoVI","-1"
"1337704836167557120","COVID","CovidDeathAT","Sat Dec 12 10:24:20 +0000 2020","en","another soul left the planet from which is per seconds since midnight today","-1"
"1337708455751086081","COVID","merp // #takecaretwoset","Sat Dec 12 10:38:43 +0000 2020","en","Mutuals and non mutuals please I literally have day left I have covid Dont leave me homeless for the winter amp Christm","-1"
"1337708454455152640","COVID","Moistlokov","Sat Dec 12 10:38:43 +0000 2020","en","I tried to make salmon spinach pasta but got carried away about how jacked up our COVID response is and how badly w","-1"
"1337708452748124161","COVID","Finis L. Dailey, III","Sat Dec 12 10:38:43 +0000 2020","en","Calling Covid19 the Wuhan Virus is blatantly racist As a former US amba","-1"
"1337708451892322306","COVID","Doctor R Shaldjian Morrison","Sat Dec 12 10:38:43 +0000 2020","en","Serum Levels of Vitamin C and Vitamin D in a Cohort of Critically Ill COVID19 Patients of a North American Communi","-1"
"1337708451577917443","COVID","WebGab","Sat Dec 12 10:38:42 +0000 2020","en","These containers used to ship fresh tuna Now theyll deliver Covid19 vaccines","-1"
"1337708451473072130","COVID","Charles Myrick -CEO","Sat Dec 12 10:38:42 +0000 2020","en","Lil Baby Profits up During COVID Rappers Incriminate Themselves in Interviews Everyday Struggle","-1"
"1337708450491535360","COVID","adriana la cerva","Sat Dec 12 10:38:42 +0000 2020","en","Just wanna say getting regular vaccinated was scary given the state of govt hospitals I am hoping and praying for e","-1"
"1337708449203953666","COVID","South Asians News","Sat Dec 12 10:38:42 +0000 2020","en","Nepals Covid19 tally advances to with new cases recorded on Saturday","-1"
"1337708447618494465","COVID","David Taking The Vaccine ASAP","Sat Dec 12 10:38:41 +0000 2020","en","COVID restrictions be damned If one Royal Navy ship fires on an unarmed French vessel because of Boris Johnsons u","-1"
"1337708446582530048","COVID","JavaScript is Easy","Sat Dec 12 10:38:41 +0000 2020","en","Royal COVID Charlotte Louis make red carpet debut with Prince William Kate Middleton at show","-1"
"1337708446347644930","COVID","Concerned Citizen (CeeCee)","Sat Dec 12 10:38:41 +0000 2020","en","The lovely staff in the cafe asked me how they could spread the message of the massive overreaction to covid I gave th","-1"
"1337708445965971456","COVID","matt_birkbeck","Sat Dec 12 10:38:41 +0000 2020","en","Long COVID sufferer John urges people to follow the guidelines to protect themselves and others from the potentia","-1"
"1337708444351139840","COVID","Kirsty Hill","Sat Dec 12 10:38:41 +0000 2020","en","Firm with Links to Matt Hancocks Family Awarded Million COVID Testing Deal","-1"
"1337708443973500929","COVID","dvsr murty","Sat Dec 12 10:38:41 +0000 2020","en","PM Modi is autocratic to Pranab Ddadas autobiography to be released next month Is autocratic style a death knel","-1"
"1337708443696648192","COVID","Jackie #covidfear #climatefear #OpenOurNation","Sat Dec 12 10:38:41 +0000 2020","en","As the virus deaths are built up from frail elderly people often with several age related illness its very easy to place t","-1"
1338231628955484161,COVID,Kyle Brooks,Sun Dec 13 21:17:38 +0000 2020,en,"RT @JoeBiden: We’re in the teeth of the COVID-19 crisis right now, and this nation needs presidential leadership.

Leadership that is willi…",-1
1338231628276051974,COVID,concerned veteran,Sun Dec 13 21:17:37 +0000 2020,en,REMEMBER IF THE US IS SHORT ON PFIZER VACCINE FOR COVID IT IS BECAUSE OF TRUMPS IMCOMPETENCE &amp; NOT PUTTING OUR NATI… https://t.co/Y9r0fHhrpA,-1
1338231628095602688,COVID,Richard Arthur Milton,Sun Dec 13 21:17:37 +0000 2020,en,"@TheEliKlein If ""we don't know"", why have the vaccines been ""authorized"". I've seen some data the survival rate for… https://t.co/dsPf9ceblJ",-1
1338231627261087749,COVID,Richard Harrington,Sun Dec 13 21:17:37 +0000 2020,en,RT @JuliaHB1: Remember when Chris Whitty told us the truth about the risk of Covid? Worth watching... It feels like a LONG time ago but eve…,-1
1338231627231670273,COVID,CEO Of Ohio,Sun Dec 13 21:17:37 +0000 2020,en,"RT @jbook37: Michigan on Saturday, we can't play Ohio State we got the Bubonic, Bird Flu, Covid, Mono, Diarrhea.

Michigan on Sunday, we ar…",-1
1338231626623553536,COVID,Rachel Wilson,Sun Dec 13 21:17:37 +0000 2020,en,"RT @JoeBiden: We’re in the teeth of the COVID-19 crisis right now, and this nation needs presidential leadership.

Leadership that is willi…",-1
1338231626237501441,COVID,CJ(Katy) Crittenden,Sun Dec 13 21:17:37 +0000 2020,en,RT @davenewworld_2: Anti-masker in New Jersey refuses to enforce COVID guidelines at his gym https://t.co/zu69lCsvQq,-1
1338231625637908483,COVID,AtomaCon,Sun Dec 13 21:17:37 +0000 2020,en,9 more days!  Because of Covid as of right now we will not have at the door passes so get yours while you can.  If… https://t.co/WMv71cSwEd,-1
1338231625281384454,COVID,rachel bose,Sun Dec 13 21:17:37 +0000 2020,en,RT @KangoSir: 1/2 My job is at risk of being cut in April thanks to covid. I've been lucky to get a couple of interviews next week for jobs…,-1
1338231624731910144,COVID,Cosmo,Sun Dec 13 21:17:37 +0000 2020,en,"RT @kylegriffin1: Sen. Coons to NBC: ""The fact that, 9 months later, we don't have a next round of COVID relief is something I personally a…",-1
1338231624689967107,COVID,shadowmoon,Sun Dec 13 21:17:37 +0000 2020,en,First trucks with COVID-19 vaccine roll out of Pfizer plant in Michigan - NBC News https://t.co/X2FrTQ6HEL,-1
1338231624618700809,COVID,Kiki Calanmai,Sun Dec 13 21:17:37 +0000 2020,en,I tested positive for covid but it’s fine cuz I still get to meet the @tryguys on Friday,-1
1338231624505421829,COVID,WheeledPatriot2,Sun Dec 13 21:17:37 +0000 2020,en,@cubsfuture2 @slewfan @JHerd6 Well pharmacists are saying they aren't selling tamiflu and neither are their supplie… https://t.co/CCvXZi5NsA,-1
1338231624497033222,COVID,Dave Wagner,Sun Dec 13 21:17:37 +0000 2020,en,I'm very tired of hearing about what politicians can't do to bring us COVID relief. Tell us what you CAN do and do it.,-1
1338231624354287619,COVID,Jo Ellen Davey Cohen,Sun Dec 13 21:17:37 +0000 2020,en,"RT @WhiteHouse: ""I look forward to receiving a vaccine as soon as it is available to me,"" @RepBradWenstrup writes.

“I encourage all Americ…",-1
1338232494454427648,COVID,Matt Reed,Sun Dec 13 21:21:04 +0000 2020,en,RT @airwaysmagazine: #NEWS | Two COVID-19 vaccines are in line to be approved for emergency use in the US. Once they obtain government appr…,-1
1338232493519089664,COVID,Steve,Sun Dec 13 21:21:04 +0000 2020,en,"RT @autcareandshare: My son is autistic and has learning disabilities I am his full time carer he has 1to1 care at all times.
What will hap…",-1
1338232493397274624,COVID,Gardner's Sciatica,Sun Dec 13 21:21:04 +0000 2020,en,RT @stephjantzen: #Thread Jules is no longer on a ventilator. She died as an ICU nurse this morning from Covid-19. I do this brief thread f…,-1
1338232492931899397,COVID,Denaja J.,Sun Dec 13 21:21:04 +0000 2020,en,RT @askeletonheart: @lottidot @AmazonianKween_ @eri_rozay @iChanelJ @simplyshakeila_ @DeeLaSheeArt @IndiaDionna Girl listening to the unive…,-1
1338232492315308033,COVID,GH0STMERC,Sun Dec 13 21:21:03 +0000 2020,en,@ADistortedPer @IAmNOTSteveNash @SpockResists @realDonaldTrump I said trump took a good eco from Obama and took it… https://t.co/mp1Nr7AXch,-1
1338232492269002752,COVID,☁☀️B/L/M Wear Masks☀️☁,Sun Dec 13 21:21:03 +0000 2020,en,RT @soFISHtication: Friendly reminder as we roll into the New Year soon: just because 2020 is almost over does NOT mean COVID is! Please co…,-1
1338232492197875715,COVID,space princess 🪐,Sun Dec 13 21:21:03 +0000 2020,en,Just found out my hometown has been ranked the 10th worst city in the country for covid cases. I wish I was surprised,-1
1338232491199631365,COVID,Popas Digital Agency,Sun Dec 13 21:21:03 +0000 2020,en,"RT @Yanky_Pollak: If you got a COVID fine please visit https://t.co/9MjpXyZv28 

If you have a business that was shut down due to Governmen…",-1
1338232490050408450,COVID,Mr. Nuzum,Sun Dec 13 21:21:03 +0000 2020,en,"RT @AdamNewshound12: It's become one of the most gripping storylines of SC's pandemic response: How safe is it for classrooms be open, and…",-1
1338232490008436737,COVID,RoseWallace @Lollybrock,Sun Dec 13 21:21:03 +0000 2020,en,"RT @kylegriffin1: Sen. Coons to NBC: ""The fact that, 9 months later, we don't have a next round of COVID relief is something I personally a…",-1
1338232489916182539,COVID,Peon Glory,Sun Dec 13 21:21:03 +0000 2020,en,"RT @abirballan: The world went into lockdown based on a fear of rising cases, asymptomatic transmission, widespread susceptibility, lack of…",-1
1338232489312215045,COVID,Indivisible Philadelphia,Sun Dec 13 21:21:03 +0000 2020,en,RT @RepKatiePorter: Everyone at the negotiating table—including Senate Rs—has agreed to a compromise. Except one. Mitch McConnell is refusi…,-1
1338232489249284098,COVID,Khrissy Choate 3️⃣8️⃣ days!,Sun Dec 13 21:21:03 +0000 2020,en,RT @KentuckyReside2: @senatemajldr Did you try to slip in a liability clause so service members cannot seek restitution if they suffer illn…,-1
1338232489098227712,COVID,Phyllis Forbes,Sun Dec 13 21:21:03 +0000 2020,en,"RT @davidfrum: Back in April, I wrote that the undeclared true Trump COVID strategy was “take the punch” - let the disease rip in hope of r…",-1
1338232488322273282,COVID,nasirafaheem,Sun Dec 13 21:21:03 +0000 2020,en,RT @principalbcss: Breakfast club continues during COVID ⁦@BCSSbasketball⁩ ⁦@bcssbucks⁩ ⁦@BCSS116⁩ ⁦@ZontaBCSS⁩ ⁦@MlleSpez⁩ ⁦@MmePatel⁩ ⁦@b…,-1
1338233753173454851,COVID,Diane Verhoest,Sun Dec 13 21:26:04 +0000 2020,en,@GovRonDeSantis @FLCaseyDeSantis @ChrisSprowls Except when you keep endangering them with the laissez-faire attitud… https://t.co/QN7IR1GPqG,-1
1338233751420227584,COVID,Emmanuel Roy,Sun Dec 13 21:26:04 +0000 2020,en,"RT @InterBang: So flip-flop Fauci criticizes the UK for rushed approval, but unlike the UK, he gives the go-ahead to start testing the vacc…",-1
1338233750921113608,COVID,Oamaam,Sun Dec 13 21:26:04 +0000 2020,en,"@gregkellyusa Things that make you think, like the SP Barracks visitor park lot packed till late last night, on a S… https://t.co/doZq1GpDYS",-1
1338233747838173184,COVID,Miche Priest🤓,Sun Dec 13 21:26:03 +0000 2020,en,My MIL went to @FedEx to mail stocking stuffers. She was told she couldn’t ship @Starbucks gift cards due to money… https://t.co/zkjuXTqLWd,-1
1338233747754389504,COVID,Rik Bartholomew,Sun Dec 13 21:26:03 +0000 2020,en,"@MervynMj1 @TheFreds I’ve personally carried on as normal throughout, along with other places all over, working in… https://t.co/DwDEvR6xAH",-1
1338233747745853441,COVID,Dawn Hunting,Sun Dec 13 21:26:03 +0000 2020,en,"RT @kylegriffin1: Sen. Coons to NBC: ""The fact that, 9 months later, we don't have a next round of COVID relief is something I personally a…",-1
1338233746164764672,COVID,Addie,Sun Dec 13 21:26:02 +0000 2020,en,@genesimmons Is he another one that think COVID-19 is a hoax? What doe he expect all the dead people to pop out and say April fools? Idiot!,-1
1338233745971834881,COVID,Frank Edoho,Sun Dec 13 21:26:02 +0000 2020,en,RT @IkSlimatic: @frankedoho Arsenal's performance can give covid- 19 so its better to protect the eyes. What the doctors failed to tell us…,-1
1338233745669726208,COVID,Bryn,Sun Dec 13 21:26:02 +0000 2020,en,My parents might have Covid check 😍👍🏼🤩,-1
1338233743849496577,COVID,Elizabeth Higgins,Sun Dec 13 21:26:02 +0000 2020,en,"RT @kylegriffin1: Sen. Coons to NBC: ""The fact that, 9 months later, we don't have a next round of COVID relief is something I personally a…",-1
1338233743438442498,COVID,Gavin Roberts,Sun Dec 13 21:26:02 +0000 2020,en,"RT @ChrisMcEleny: More evidence that we are wrong to follow the 5 day Christmas Covid risk policy of the UK

We will have 25k new cases in…",-1
1338233743375523840,COVID,Truth First - Lanka,Sun Dec 13 21:26:02 +0000 2020,en,"RT @SenKamalaHarris: Californians and people across the nation are facing record numbers of COVID-19 cases, overwhelming health care worker…",-1
1338233742851182593,COVID,Ian Book Fan Club,Sun Dec 13 21:26:02 +0000 2020,en,RT @IAmJamesStewart: Are you going to take the COVID-19 vaccine?,-1
1338233742738018307,COVID,AmandaRipsam,Sun Dec 13 21:26:02 +0000 2020,en,"RT @Reuters: Ten months and more than 1.5 million global COVID-19 deaths later, nurses and doctors continue to risk their lives every day.…",-1
1338233742314377219,COVID,Irene DN,Sun Dec 13 21:26:02 +0000 2020,en,"@chantelle4u I know someone who has had malaria and covid, she says you can’t compare the two. The fever, headache… https://t.co/7pRsZ9BJrs",-1
1338236232803999745,COVID,juan santacruz,Sun Dec 13 21:35:55 +0000 2020,en,RT @MeidasTouch: It’s Day 3 of the #VoteYourRaise tour and today @NavyBizVet is in Augusta! We will be spreading a simple message to voters…,-1
1338236232564928520,COVID,Jessy 🇧🇮,Sun Dec 13 21:35:55 +0000 2020,en,RT @xogabbyelle: “I can’t believe I am saying this... I tested positive for COVID” https://t.co/mFD1rmIEyD,-1
1338236232149721088,COVID,Patty Pullias,Sun Dec 13 21:35:55 +0000 2020,en,RT @rachelstoo: Look Whats In Your COVID-19 Vaccine! https://t.co/JepuUJD0qC,-1
1338236231419879429,COVID,Ruckus Henry,Sun Dec 13 21:35:55 +0000 2020,en,"RT @MojiDelanoBlog: #FreeOmahLay #FreeTems: COVID-19: Why We Arrested Omah Lay, Tems – Uganda Police Releases Official Statement
https://t.…",-1
1338236230811717635,COVID,Carl Evans,Sun Dec 13 21:35:55 +0000 2020,en,RT @PeterKGeoghegan: Johnson was set to lockdown in mid-September until Sunak invited lockdown sceptic scientists Gupta and Heneghan to spe…,-1
1338236230694293505,COVID,ƊЄƁ for Biden/Harris,Sun Dec 13 21:35:55 +0000 2020,en,RT @banksta62: @Lancegooden @realDonaldTrump Uh no dude. He didn’t. He spent the last 4 years lining his pockets with our money and making…,-1
1338236230627172360,COVID,Royce Hammer (Fuck cops),Sun Dec 13 21:35:55 +0000 2020,en,RT @JustinWhang: When the Covid vaccine hits https://t.co/PBCimioAix,-1
1338236230572584961,COVID,#TexasRedGuy,Sun Dec 13 21:35:55 +0000 2020,en,"RT @lyne_ian: @JoeBiden Everything related to Covid . . 

“Cases”, social distancing, lockdowns, mask mandates, even “Covid deaths"" 

ALL p…",-1
1338236230522159104,COVID,Jack Randall,Sun Dec 13 21:35:55 +0000 2020,en,@justinamash Bernie Sanders Admits Democrats Purposefully Blocked Covid Relief Legislation https://t.co/BPikunt3bQ,-1
1338236230367129602,COVID,Sadie Jones,Sun Dec 13 21:35:55 +0000 2020,en,RT @AlyciaTyre: I’m just ready for covid to be gone. Like go the fuck away and be gone forever and never come back.,-1
1338236230027231233,COVID,Smirk Dr.,Sun Dec 13 21:35:55 +0000 2020,en,"RT @BrandiKruse: If the government can find creative ways for people to have sex during COVID-19, it can find creative ways for people to d…",-1
1338236229423222785,COVID,🦆,Sun Dec 13 21:35:54 +0000 2020,en,"RT @mint_manee: Announcing from #BMMF11 #bigmountain2020 

""Thank you our friends to be together for 11 years. Today, we did our best and t…",-1
1338236229368864770,COVID,Barbados Today,Sun Dec 13 21:35:54 +0000 2020,en,REGIONAL: Cluster of 26 COVID-19 cases at Sandals Grenada - https://t.co/mit5RcDpf3 https://t.co/73oYYnGh6y,-1
